"20","BS109(0) ","1&frasl;2&#733; ","21&frasl;32&#733; ","1&#733; ","100 "," 25.00 "," 20.00 ","26.00","21.00"
"21","BS110(1) ","9&frasl;16&#733; ","3&frasl;4&#733; ","1&#733; ","100 "," 30.00 "," 21.00 ","31.00","22.00"
"22","BS111(2) ","5&frasl;8&#733; ","25&frasl;32&#733; ","1&#733; ","100 "," 33.00 "," 24.00 ","34.00","25.00"
"23","BS112(3) ","23&frasl;32&#733; ","15&frasl;16&#733; ","1&#733; ","100 "," 38.00 "," 30.00 ","39.00","31.00"
"24","BS114(4) ","3&frasl;4&#733; ","1&#733; ","1&#733; ","100 "," 49.00 "," 35.00 ","51.00","36.00"
"25","BS116(5) ","28&frasl;32&#733; ","1-1&frasl;16&#733; ","1&#733; ","100 "," 59.00 "," 42.00 ","61.00","43.00"
"26","BS117(5.5) ","15&frasl;16&#733; ","1-1&frasl;10&#733; ","1&#733; ","100 "," 64.00 "," 51.00 ","66.00","53.00"
"27","BS118(6) ","1-1&frasl;32&#733; ","1-1&frasl;4&#733; ","1&#733; ","100 "," 71.00 "," 57.00 ","73.00","59.00"
"28","BS119(6.5) ","1-1&frasl;16&#733; ","1-5&frasl;16&#733; ","1&#733; ","100 "," 78.00 "," 63.00 ","81.00","65.00"
"29","BS120(7) ","1-3&frasl;16&#733; ","1-7&frasl;16&#733; ","1&#733; ","100 "," 85.00 "," 65.00 ","88.00","67.00"
"30","BS121(7.5) ","1-1&frasl;4&#733; ","1-17&frasl;32&#733; ","1&#733; ","100 "," 89.00 "," 71.00 ","92.00","73.00"
"31","BS122(8) ","1-5&frasl;16&#733; ","1-5&frasl;8&#733; ","1&#733; ","50 "," 54.00 "," 34.00 ","56.00","35.00"
"32","BS123(8.5) ","1-13&frasl;32&#733; ","1-11&frasl;16&#733; ","1&#733; ","50 "," 56.00 "," 36.00 ","58.00","37.00"
"33","BS124(9) ","1-15&frasl;32&#733; ","1-3&frasl;4&#733; ","1&#733; ","50 "," 59.00 "," 40.00 ","61.00","41.00"
"34","BS125(9.5) ","1-1&frasl;2&#733; ","1-13&frasl;16&#733; ","1&#733; ","50 "," 67.00 "," 52.00 ","69.00","54.00"
"35","BS126(10) ","1-5&frasl;8&#733; ","1-31&frasl;32&#733; ","1&#733; ","50 "," 77.00 "," 56.00 ","80.00","58.00"
"36","BS127(10.5)","1-3&frasl;4&#733;","2-1&frasl;16&#733;","1&#733;","50"," 87.00"," 64.00","90.00","66.00"
"1","BS128(11) ","1-7&frasl;8&#733; ","2-13&frasl;64&#733; ","1&#733; ","Each "," 2.60 "," 1.50 ","2.65","1.55"
"2","BS129(11.5) ","2&#733; ","2-15&frasl;32&#733; ","1&#733; ","Each "," 2.90"," 1.60 ","2.95","1.65"
"3","BS130(12) ","2-1&frasl;8&#733; ","2-1&frasl;2&#733; ","1&#733; ","Each "," 3.20 "," 1.75 ","3.30","1.85"
"4","BS132(13)","2-9&frasl;32&#733;","2-11&frasl;16&#733;","1&#733;","Each"," 3.60"," 2.20","3.75","2.30"
"1","BS133(13.5) ","2-7&frasl;16&#733; ","2-31&frasl;32&#733; ","1-3&frasl;8&#733; ","Each "," 4.85 "," 3.50 ","5.00","3.65"
"2","BS134(14) ","3&#733; ","3-1&frasl;2&#733; ","1-1&frasl;2&#733; ","Each "," 9.75 "," 5.75 ","10.00","6.00"
